989 177466
115 490 106
108 629 910
328 948 533
924 979 885
309 973 946
467 744 875
475 636 338
185 865 347
580 606 99
504 674 926
388 812 570
61 931 251
335 482 800
144 897 629
411 965 159
828 974 836
113 221 655
161 276 403
13 305 242
50 751 497
643 803 449
592 601 113
248 312 42
133 688 266
74 729 335
209 702 460
186 741 628
260 453 396
113 268 659
49 166 634
9 573 438
94 301 495
179 364 818
46 517 735
522 786 981
202 385 426
67 301 97
565 774 301
544 860 193
53 333 485
146 449 202
405 679 555
763 819 643
523 831 844
141 636 227
463 884 930
411 872 910
99 231 746
225 531 8
135 430 545
127 300 32
329 586 376
382 528 842
422 556 433
226 776 775
139 252 430
74 965 82
260 631 455
219 569 48
451 863 460
541 685 337
97 532 402
307 803 551
357 842 83
88 979 321
444 472 873
280 960 88
61 573 460
40 458 491
571 750 371
77 325 514
378 870 870
96 679 691
370 438 830
222 869 615
173 989 648
97 133 773
174 481 590
368 958 631
629 868 498
232 902 553
178 517 284
563 699 111
377 446 763
180 591 841
255 693 838
459 836 866
438 833 660
152 592 592
10 914 912
218 237 52
192 458 208
275 692 702
328 426 468
532 676 718
10 983 889
114 742 268
32 784 173
69 625 792
576 883 370
639 685 697
198 210 162
704 977 135
626 969 2
135 508 33
302 394 760
582 933 160
173 696 896
442 637 188
557 870 394
382 412 118
329 633 785
335 763 472
296 550 6
116 746 136
264 650 519
138 231 765
33 940 994
207 978 472
550 793 765
824 964 426
214 734 595
795 875 874
246 621 966
285 383 290
153 940 57
373 753 791
661 732 330
380 622 436
123 645 314
774 960 708
461 576 581
13 892 541
379 844 646
600 882 799
558 737 705
38 55 415
41 178 975
92 303 97
112 824 160
673 753 222
651 925 184
574 796 824
568 928 156
218 983 938
23 840 724
632 821 872
68 415 614
890 920 603
274 725 374
479 890 69
378 616 174
420 947 949
163 609 760
476 871 101
256 812 186
38 280 244
280 369 194
284 338 612
35 602 728
575 839 528
90 446 38
86 829 372
593 756 893
213 767 475
112 534 588
507 634 109
413 688 994
110 129 617
94 866 282
556 807 922
35 219 317
230 426 391
63 170 983
271 806 684
348 592 68
173 711 803
24 96 395
162 613 153
317 528 980
209 417 744
90 200 784
549 961 181
156 872 109
195 445 470
124 597 422
307 770 514
156 544 921
474 532 720
522 595 871
163 691 110
407 635 961
237 716 72
377 891 44
555 878 294
686 818 647
489 916 561
221 723 543
461 862 55
605 815 665
64 439 954
307 983 183
778 988 808
504 877 880
347 406 397
466 656 596
620 777 711
72 595 107
308 429 475
561 935 771
412 896 112
403 827 938
89 572 568
110 688 41
412 830 609
377 674 814
145 985 210
195 454 827
943 981 843
838 989 560
427 700 841
38 597 470
760 933 575
377 455 85
28 510 91
232 663 185
493 623 53
417 655 950
443 555 220
283 449 844
94 241 579
9 399 264
198 793 814
138 903 438
237 679 615
124 427 682
281 728 758
345 651 370
46 502 11
472 882 157
248 478 490
361 723 138
20 501 113
466 819 433
356 368 718
419 609 735
331 432 16
532 545 171
86 433 895
208 497 358
250 306 325
651 879 431
503 938 322
472 612 412
563 898 813
283 322 989
645 882 624
273 551 41
139 706 933
316 638 928
241 294 518
569 748 162
107 707 472
284 661 915
409 849 819
598 959 643
354 754 152
552 896 611
726 967 752
282 512 176
493 622 864
232 391 322
805 885 333
215 644 572
362 512 224
701 854 700
220 531 745
286 952 883
334 768 740
22 898 599
406 815 198
294 781 40
18 51 624
492 703 156
308 699 545
385 574 193
26 383 114
52 63 981
207 427 667
613 971 897
576 976 793
239 727 394
218 371 577
183 650 845
75 718 826
583 968 256
194 335 949
515 542 996
354 479 761
214 856 580
70 369 399
720 905 724
359 571 466
150 203 169
201 610 369
267 967 338
154 833 231
408 636 423
35 938 467
248 788 884
157 627 355
803 986 587
345 442 811
102 224 403
186 781 992
772 922 318
213 620 381
61 418 24
346 951 428
772 966 881
255 561 327
513 576 47
613 805 392
774 814 630
52 523 616
616 820 456
167 427 104
148 169 35
209 498 98
328 640 851
158 465 569
836 920 660
75 206 670
935 956 312
836 916 393
744 885 9
404 516 339
539 962 612
107 769 397
79 289 308
478 939 973
535 616 354
61 592 208
745 946 415
481 778 202
221 783 325
636 744 317
88 914 126
186 507 926
151 946 737
261 776 129
358 986 484
