137 1690
76 121 69
33 89 1
18 84 27
87 125 18
10 37 1
69 135 71
70 76 65
56 58 61
7 86 20
123 131 57
89 97 28
51 130 37
50 105 72
13 37 15
78 86 77
124 129 18
38 65 85
18 75 54
18 63 29
7 27 39
25 57 38
48 128 53
110 123 6
19 85 94
40 109 56
38 110 84
15 115 73
4 66 62
79 98 11
34 101 50
11 44 57
46 117 91
39 106 64
19 34 1
17 117 14
46 125 26
117 135 66
29 62 9
54 91 70
87 105 36
10 58 65
74 77 82
52 64 44
70 89 52
28 82 97
98 124 64
66 111 25
103 116 40
87 116 12
66 92 47
2 29 65
39 113 7
50 77 32
44 74 87
47 113 35
17 19 95
10 67 29
16 114 58
35 44 72
97 125 90
110 134 44
68 120 93
106 124 36
44 47 16
37 52 3
8 57 71
54 69 36
99 134 14
101 113 18
35 103 11
56 116 62
10 88 85
117 123 27
44 116 22
21 82 75
17 77 74
76 125 20
2 71 21
12 74 1
42 105 5
71 103 16
34 69 92
75 86 31
24 71 21
10 61 66
17 20 83
54 84 26
60 97 84
115 125 89
15 57 99
82 116 10
30 79 34
10 48 65
80 115 94
52 60 40
78 137 45
55 76 96
25 125 16
44 109 82
44 46 67
4 19 52
44 45 92
16 32 50
10 45 78
24 77 4
1 45 33
61 126 27
61 118 71
5 92 69
59 129 26
71 104 2
111 136 45
16 58 5
67 122 34
32 130 33
1 26 36
17 64 32
67 120 42
55 80 28
40 111 66
24 32 81
33 111 32
26 105 76
81 124 89
39 132 4
68 128 63
53 117 67
47 132 95
5 121 60
31 81 17
84 114 39
36 98 54
59 97 1
58 112 61
74 78 43
29 126 39
13 65 66
59 61 100
49 122 85
41 106 45
24 83 53
41 58 7
97 122 33
54 108 20
52 59 86
40 101 40
72 113 96
17 29 14
26 72 39
51 55 36
57 95 66
34 78 22
11 16 28
44 50 22
9 11 31
7 62 2
20 21 7
62 106 95
67 133 49
54 124 11
68 93 34
96 133 38
75 112 19
88 91 17
17 22 51
20 102 4
10 115 14
35 52 22
33 40 64
11 97 29
94 101 22
23 95 83
14 121 38
125 128 24
70 115 50
46 124 62
61 102 83
61 76 84
42 133 24
17 93 47
101 116 74
124 125 98
131 132 48
94 118 5
91 125 17
75 125 76
54 99 92
4 36 34
40 63 14
27 54 39
81 105 43
27 126 7
68 82 52
52 130 15
105 121 79
89 108 67
9 105 49
39 55 56
80 98 40
61 85 85
78 105 9
13 14 62
98 102 10
57 84 16
29 61 54
68 121 46
70 93 49
19 99 63
14 50 14
51 67 49
14 68 99
53 93 62
9 93 79
6 23 93
78 89 16
27 46 84
2 114 9
106 129 12
49 116 63
63 136 74
52 66 23
44 85 12
24 74 7
113 127 83
65 93 57
21 67 48
23 105 30
49 91 40
23 99 87
44 75 99
83 95 5
91 94 70
46 131 4
23 91 78
1 13 27
36 88 80
20 95 99
31 79 19
3 79 23
22 55 31
30 72 95
19 30 64
111 114 87
21 28 44
69 83 53
37 90 13
64 124 23
73 117 84
64 85 47
70 88 13
25 100 65
62 119 26
20 109 14
60 86 84
128 137 55
10 85 66
104 126 10
35 128 8
92 94 11
82 92 17
23 45 74
65 133 80
8 102 27
17 119 100
5 38 40
50 82 85
10 116 40
116 122 21
87 128 72
105 109 59
6 27 47
15 63 67
3 28 3
104 121 2
54 87 6
15 135 90
12 93 32
37 73 83
66 106 29
72 116 5
12 130 29
12 94 68
73 112 93
55 100 34
44 112 97
52 63 26
21 72 95
16 112 68
38 107 67
88 94 64
25 53 99
93 129 73
76 98 39
23 80 97
95 131 98
30 63 87
4 55 4
45 52 10
37 115 62
42 57 1
18 122 30
47 100 17
88 113 3
89 102 70
105 129 79
23 117 100
41 45 46
40 107 61
42 49 86
57 123 11
16 42 25
53 96 4
84 93 97
87 112 58
103 115 29
46 84 39
43 57 68
16 86 99
15 77 85
95 136 43
43 127 24
74 127 45
53 62 25
25 103 56
4 67 70
121 130 55
3 45 70
65 80 100
59 68 19
37 114 60
27 135 62
69 74 71
47 125 22
115 122 23
19 78 24
17 82 63
40 93 17
42 50 98
101 115 35
33 69 4
26 35 56
76 90 20
68 129 99
75 136 4
45 67 14
47 64 2
43 104 91
77 134 16
60 123 63
89 110 67
50 57 18
81 97 68
2 66 5
14 26 65
18 42 13
120 134 84
38 68 33
26 66 14
29 96 41
31 91 58
40 96 32
61 87 63
22 124 43
109 118 1
18 98 81
93 125 3
43 103 81
24 73 4
31 85 4
68 123 27
36 49 48
56 123 34
93 95 50
113 134 41
67 88 33
9 106 34
73 108 39
101 126 83
23 66 14
82 114 40
2 17 94
72 83 65
32 34 40
1 79 34
15 111 78
7 55 54
99 117 17
15 96 97
47 122 63
58 89 24
11 28 87
14 96 96
66 132 4
73 93 83
30 130 53
7 15 64
7 11 13
83 121 98
32 58 91
88 133 27
4 82 82
22 51 93
65 97 41
112 127 9
6 69 33
47 104 89
60 115 24
82 136 35
16 82 21
119 122 29
8 70 33
89 106 94
2 108 85
80 83 41
21 32 4
14 115 66
92 123 2
73 110 3
5 137 48
6 107 73
80 116 13
58 105 77
55 101 40
45 133 5
36 115 84
27 105 8
51 69 24
85 134 4
72 134 75
84 128 55
10 102 89
77 137 11
65 100 28
51 60 26
78 96 98
75 96 20
38 88 28
38 132 36
48 119 51
62 100 25
108 136 47
31 108 98
37 131 28
91 123 47
19 111 94
56 134 93
10 39 98
47 75 30
36 108 80
73 89 70
82 102 29
4 52 65
108 110 47
103 137 28
102 128 82
20 22 42
51 63 59
24 91 27
61 62 17
61 72 19
58 85 58
9 21 19
104 108 29
25 86 46
10 73 71
85 100 56
62 87 66
16 38 24
2 12 12
104 129 20
37 87 3
45 112 66
49 76 60
51 88 40
18 27 84
18 81 64
78 114 73
11 84 82
42 73 35
7 47 7
5 10 82
13 75 36
36 59 21
7 37 18
112 132 27
36 136 8
56 122 50
15 66 48
4 26 21
4 39 31
3 69 53
47 78 58
6 90 48
45 97 44
72 77 55
37 89 56
38 44 27
23 128 58
81 116 71
72 85 17
31 135 19
61 101 25
95 127 95
59 127 19
7 24 67
75 128 38
90 127 1
6 97 9
46 134 50
58 119 14
43 66 35
34 108 32
29 119 3
81 87 37
2 116 99
55 75 18
23 94 15
34 133 48
23 96 35
37 67 44
73 113 30
85 97 83
110 121 24
10 23 91
4 59 34
28 49 56
43 60 70
101 135 7
52 126 78
13 21 52
99 104 20
105 116 55
39 54 58
41 103 94
85 135 35
20 75 50
12 137 94
17 114 13
43 109 56
62 108 3
12 109 56
21 61 83
68 92 66
10 95 98
3 95 77
1 17 73
52 114 64
9 82 52
108 127 8
8 88 24
68 115 13
69 99 86
10 74 20
99 121 65
55 115 93
20 132 11
49 92 31
57 115 62
28 55 2
5 90 23
4 103 45
58 117 58
117 134 52
8 126 47
73 90 96
105 135 67
82 108 98
39 53 93
1 11 52
42 44 84
5 122 98
117 133 21
57 75 36
15 24 60
60 85 85
42 104 67
57 60 36
61 113 44
103 107 6
69 117 50
47 90 21
3 12 58
76 95 10
48 107 13
34 100 62
53 116 77
11 96 32
117 125 87
67 82 6
27 74 11
21 126 70
106 117 52
49 54 60
37 103 7
78 87 10
28 32 10
55 113 91
40 58 16
25 68 75
47 83 43
3 72 50
87 136 44
54 59 96
15 137 50
24 112 95
35 39 28
35 107 40
99 132 80
29 68 54
38 93 77
7 103 17
101 103 58
79 91 81
20 111 72
16 56 61
29 128 21
66 77 35
5 77 30
96 108 77
123 129 72
47 94 95
1 102 7
29 93 71
17 37 45
81 113 1
55 110 76
45 122 75
10 40 50
20 56 20
61 120 79
34 126 10
63 64 67
15 75 1
35 69 22
60 124 45
40 102 31
2 135 5
78 133 62
7 119 88
105 111 93
4 74 50
50 86 94
19 89 35
45 68 58
11 69 70
22 62 57
32 111 68
17 48 85
2 46 33
33 93 24
62 79 20
6 50 95
52 91 37
51 117 71
34 66 5
54 134 84
24 58 62
17 33 80
27 99 38
41 70 93
56 112 67
7 12 100
3 122 15
11 103 50
28 131 87
15 133 65
50 111 63
36 67 63
29 63 40
24 44 58
50 119 45
5 132 5
22 60 5
12 51 70
48 58 12
6 128 76
12 100 71
42 129 33
47 56 46
74 115 49
97 133 18
19 29 76
124 126 93
105 130 28
35 108 66
71 125 18
41 64 57
12 117 17
20 59 71
86 88 70
70 82 60
91 100 25
20 135 29
4 34 83
19 71 95
7 91 55
69 95 95
34 91 3
20 121 33
6 84 22
39 40 26
35 85 68
8 82 41
73 106 89
7 61 74
47 131 23
14 105 17
19 128 76
37 129 58
72 117 92
14 38 68
5 102 55
122 123 69
67 136 28
57 100 78
27 80 42
112 128 94
7 70 35
21 69 69
15 136 8
29 69 67
29 35 2
27 96 7
61 74 79
89 94 66
46 57 17
11 136 11
40 126 34
23 136 40
53 54 22
97 121 38
9 38 17
24 78 89
30 120 56
22 39 87
50 95 75
23 72 92
16 133 30
53 80 92
5 6 31
93 110 23
115 123 27
56 121 35
24 82 91
15 122 5
2 51 18
42 86 71
31 89 70
106 109 42
28 135 69
34 73 15
58 80 20
45 61 27
83 131 82
54 136 93
1 2 8
30 34 38
101 102 41
22 83 46
6 74 13
59 117 68
92 128 7
72 104 48
7 118 57
96 126 67
35 122 24
105 108 77
47 102 99
43 70 79
102 135 27
102 108 41
19 104 54
20 100 7
35 119 49
54 83 17
111 113 5
99 101 91
31 107 27
50 70 69
49 95 43
3 38 54
17 30 27
23 108 95
20 103 53
24 123 53
38 102 35
70 113 69
1 103 27
50 71 1
20 106 25
62 116 37
82 88 24
54 130 28
88 125 4
13 82 97
8 52 88
12 101 78
47 120 86
72 101 2
38 117 61
4 35 2
41 97 30
22 73 31
41 48 8
119 126 66
56 90 30
18 136 41
65 95 51
71 80 92
10 31 68
74 92 66
4 85 40
42 93 22
73 80 44
58 104 26
132 136 8
84 119 98
20 119 13
45 85 24
99 109 65
32 85 8
90 112 42
35 36 64
15 37 63
106 128 55
128 133 6
34 86 53
28 115 62
92 97 53
1 73 71
23 71 96
79 125 35
15 51 62
96 117 74
61 83 51
14 48 22
79 89 40
25 75 10
16 108 3
64 130 15
101 123 25
15 128 60
28 93 3
28 83 83
55 61 93
83 108 11
50 79 31
49 131 31
133 135 86
44 63 91
23 65 96
68 132 52
69 126 68
27 123 38
7 79 75
20 24 33
50 54 59
78 81 79
86 123 13
86 112 75
121 123 70
91 133 45
41 133 88
14 94 68
16 80 31
33 101 83
18 94 74
76 123 58
51 124 18
82 123 38
41 118 16
42 68 36
106 125 71
5 29 52
24 46 91
65 122 21
81 122 89
18 110 62
22 136 15
10 12 8
